Level,Trait,Taxonomy,a2_ACE,a2_ACE_lower_CI,a2_ACE_upper_CI,c2_ACE,c2_ACE_lower_CI,c2_ACE_upper_CI,e2_ACE,e2_ACE_lower_CI,e2_ACE_upper_CI,CE_to_ACE_p,FDR_all,FDR_collapsed,falconer_h2,mz_icc,dz_icc,Longitudinal_icc,Longitudinal_spearman
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__,NA,0.422955623,0.248338302,0.480138549,3.89E-13,NA,0.145678742,0.577044377,0.519861451,0.638283847,1.01E-05,0.00159075,0.000411575,0.428630197,0.42000215,0.205687051,0.602662412,0.600715922
Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae,NA,0.415497685,0.231418577,0.473069412,1.79E-11,NA,0.153797414,0.584502315,0.526930199,0.64608173,2.33E-05,0.00220185,0.00075958,0.412324739,0.411869827,0.205707457,0.601638261,0.597320168
OTU,4434334,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.397392665,0.244442598,0.455222246,5.41E-13,NA,0.127792738,0.602607335,0.544777754,0.664148699,1.34E-05,0.001809,NA,0.485495063,0.410945758,0.168198226,0.571833196,0.577140296
Order,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales,NA,0.394285926,0.331254535,0.453487841,8.25E-14,NA,0.09366652,0.605714074,0.546512159,0.668745465,1.56E-06,0.0004914,8.48E-05,0.520359363,0.406367405,0.146187723,0.487161514,0.484094646
Family,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae,NA,0.394285926,0.331254535,0.453487841,8.25E-14,NA,0.09366652,0.605714074,0.546512159,0.668745465,1.56E-06,0.0004914,8.48E-05,0.520359363,0.406367405,0.146187723,0.487161514,0.484094646
Genus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter,NA,0.394285926,0.331254535,0.453487841,8.25E-14,NA,0.09366652,0.605714074,0.546512159,0.668745465,1.56E-06,0.0004914,8.48E-05,0.520359363,0.406367405,0.146187723,0.487161514,0.484094646
OTU,368490,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__,0.38266003,0.318899788,0.442667969,4.03E-15,NA,0.089325421,0.61733997,0.557332031,0.681100212,2.11E-06,0.000498488,NA,0.520637897,0.396271536,0.135952587,0.483314502,0.48089242
OTU,176318,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__,0.360954154,0.173629596,0.421212483,1.56E-10,NA,0.15594847,0.639045846,0.578787423,0.702840819,0.000323373,0.012732812,NA,0.385450956,0.364344729,0.171619251,0.556440025,0.540604798
OTU,4372528,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.354899606,0.291288917,0.415142267,9.53E-15,NA,0.100914235,0.645100394,0.584857733,0.708711083,2.08E-05,0.002184,NA,0.512464743,0.37699686,0.120764488,0.538116592,0.531898708
OTU,4468466,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.339940922,0.274499718,0.401984595,5.31E-16,NA,0.103405017,0.660059078,0.598015405,0.725500157,6.46E-05,0.00508725,NA,0.446288267,0.35184505,0.128700916,0.612712215,0.601684054
OTU,4383953,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.338655099,0.13144038,0.440074298,0.040278143,NA,0.215351103,0.621066758,0.559923602,0.687222763,0.001283688,0.040436172,NA,0.357053673,0.384201876,0.20567504,0.489992949,0.501077047
Phylum,k__Bacteria.p__Tenericutes,NA,0.335161821,0.192437116,0.396840375,6.98E-14,NA,0.115819339,0.664838179,0.603159625,0.729807705,0.000137092,0.009431573,0.003192285,0.438918995,0.349068243,0.129608746,0.548662685,0.54177323
Genus,k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__cc_115,NA,0.330311418,0.264308236,0.392995429,1.78E-13,NA,0.098751338,0.669688582,0.607004571,0.735691764,6.38E-05,0.00508725,0.001733233,0.453445434,0.344071049,0.117348333,0.608163313,0.599355412
Order,k__Bacteria.p__Firmicutes.c__Clostridia.Other,NA,0.330299837,0.266836849,0.390646935,2.14E-11,NA,0.17915317,0.669700163,0.609353065,0.733163151,0.002257805,0.057505697,0.016000966,0.380765378,0.343816011,0.153433322,0.528811835,0.491560809
Family,k__Bacteria.p__Firmicutes.c__Clostridia.Other.Other,NA,0.330299837,0.266836849,0.390646935,2.14E-11,NA,0.17915317,0.669700163,0.609353065,0.733163151,0.002257805,0.057505697,0.016000966,0.380765378,0.343816011,0.153433322,0.528811835,0.491560809
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.Other.Other.Other,NA,0.330299837,0.266836849,0.390646935,2.14E-11,NA,0.17915317,0.669700163,0.609353065,0.733163151,0.002257805,0.057505697,0.016000966,0.380765378,0.343816011,0.153433322,0.528811835,0.491560809
Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae,NA,0.32946193,0.145675946,0.390691999,7.46E-13,NA,0.153587027,0.67053807,0.609308001,0.734965213,0.000954531,0.031104545,0.008188871,0.38681892,0.339935052,0.146525592,0.49236163,0.485135401
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__,NA,0.326155277,0.134514134,0.387701601,3.52E-12,NA,0.159962363,0.673844723,0.612298399,0.738587421,0.001392858,0.041132838,0.011351793,0.367838496,0.333905347,0.149986099,0.493526741,0.489217577
OTU,540055,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.32413468,0.259472623,0.385637973,3.77E-13,NA,0.157810049,0.67586532,0.614362027,0.740527377,0.001363755,0.041132838,NA,0.374333001,0.333737925,0.146571425,0.576299465,0.566361239
OTU,836693,k__Bacteria; p__Firmicutes; c__Clostridia,0.322247257,0.103159164,0.38376225,0.000828173,NA,0.187670854,0.67692457,0.616330889,0.740569532,0.00377212,0.07921452,NA,0.365542931,0.335978422,0.153206957,0.525515257,0.483363006
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__,NA,0.32186914,0.168440374,0.384590464,1.11E-14,NA,0.124206105,0.67813086,0.615409536,0.744091796,0.000380058,0.014366192,0.004129964,0.395379014,0.3302857,0.132596193,0.500603554,0.519263105
Order,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales,NA,0.315555364,0.182799667,0.377969215,1.14E-11,NA,0.106749847,0.684444636,0.622030794,0.749948616,0.000183937,0.010224733,0.003331303,0.451976792,0.334854253,0.108865857,0.499903855,0.487179593
Family,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae,NA,0.315555364,0.182799667,0.377969215,1.14E-11,NA,0.106749847,0.684444636,0.622030794,0.749948616,0.000183937,0.010224733,0.003331303,0.451976792,0.334854253,0.108865857,0.499903855,0.487179593
Class,k__Bacteria.p__Tenericutes.c__Mollicutes,NA,0.31507938,0.249369809,0.377647811,2.23E-12,NA,0.138583884,0.68492062,0.62235219,0.750630188,0.000911833,0.030774364,0.008188871,0.376996059,0.323812896,0.135314867,0.532429108,0.512593468
